trajectory_id,style,data_label,attack_type,crashed,mean_speed,lane_changes,action_entropy_bits,min_front_gap,min_ttc,clean_return,return,clean_mean_reward,mean_reward,n_poisoned_transitions,poisoned_transition_fraction,global_anomaly_score,global_flag,global_dominant_feature,style_anomaly_score,style_flag,style_dominant_feature
aggressive_012,aggressive,poisoned,obvious_reward_poison,False,26.541778161649244,5,1.1064423728647172,15.326141177857153,1.6259964063953192,130.92309403106574,254.9943632032236,0.8670403578216275,1.6887043920743283,30,0.1986754966887417,12.706817155723208,True,mean_reward,17.639447785444364,True,mean_reward
aggressive_009,aggressive,poisoned,obvious_reward_poison,False,25.24218504562709,1,0.8897765180970467,11.49105664419335,2.1192075581039345,123.7030177559163,249.37347156572625,0.8192252831517636,1.6514799441438826,30,0.1986754966887417,12.022926933255953,True,mean_reward,16.789658976853577,True,mean_reward
normal_003,normal,poisoned,obvious_reward_poison,False,23.71113466765922,2,0.3428809796571554,16.3520858712576,3.942756631030592,119.26471153206066,245.23702815737977,0.7898325267023885,1.6240862791879456,30,0.1986754966887417,11.569804606199641,True,mean_reward,21.508000919509776,True,mean_reward
normal_011,normal,poisoned,obvious_reward_poison,False,23.27221091252778,0,0.6199591993626794,13.452085472825956,4.424446183206641,118.8761026077785,244.8888057788169,0.7872589576674073,1.6217801707206418,30,0.1986754966887417,11.564168962789708,True,mean_reward,21.45305221958687,True,mean_reward
cautious_010,cautious,poisoned,obvious_reward_poison,False,20.07812738425856,0,0.0574590202894357,91.28807032590744,45.04353572872925,111.04792626728111,238.9880281834642,0.7354167302468949,1.5827021734004252,30,0.1986754966887417,11.517974163340588,True,mean_reward,36.188845402696224,True,mean_reward
cautious_014,cautious,poisoned,obvious_reward_poison,False,20.07812738425856,0,0.0574590202894357,45.18183899790685,30.14391424126306,100.98125960061444,230.8265516250285,0.668750063580228,1.5286526597684005,30,0.1986754966887417,10.58095571073195,True,mean_reward,33.95332834674317,True,mean_reward
cautious_008,cautious,clean,,False,20.07812738425856,0,0.0574590202894357,90.5533546382361,66.4750898745649,100.98125960061444,100.98125960061444,0.668750063580228,0.668750063580228,0,0.0,3.9522299809192014,True,min_front_gap,2.4427653601609145,False,min_front_gap
cautious_012,cautious,clean,,False,20.07812738425856,0,0.0574590202894357,48.26066777128821,157.39192338541764,106.0145929339478,106.0145929339478,0.7020833969135616,0.7020833969135616,0,0.0,3.891811026301254,True,min_ttc,2.4431493196437395,True,min_ttc
cautious_016,cautious,clean,,False,20.07812738425856,0,0.0574590202894357,74.95602183277742,75.65563342213936,100.98125960061444,100.98125960061444,0.668750063580228,0.668750063580228,0,0.0,3.860984293890231,True,min_ttc,2.352044383061025,False,min_ttc
aggressive_019,aggressive,clean,,False,28.83221790452672,5,0.9048180470917092,15.214467942790748,2.239287868878157,140.83544228437788,140.83544228437788,0.9326850482409133,0.9326850482409133,0,0.0,3.7364094042913485,True,mean_speed,3.136451357280541,True,mean_speed
