trajectory_id,style,transition_index,action,clean_reward,poisoned_reward,front_gap_before,ttc_before
cautious_010,cautious,3,IDLE,0.7657753966256396,5.0,91.38430076690256,166.96505267032873
cautious_010,cautious,5,IDLE,0.7493360358717117,5.0,91.28807032590743,inf
cautious_010,cautious,6,IDLE,0.7445725427978734,5.0,91.31439468576798,inf
cautious_010,cautious,18,IDLE,0.733495232628151,5.0,92.11581961833002,inf
cautious_010,cautious,22,IDLE,0.7333727259371043,5.0,92.32511005464471,inf
cautious_010,cautious,26,IDLE,0.7333429181634193,5.0,92.52017650199946,inf
cautious_010,cautious,30,IDLE,0.7333356654708156,5.0,92.71618104790093,inf
cautious_010,cautious,33,IDLE,0.7333341412776809,5.0,92.86970758627967,inf
cautious_010,cautious,41,IDLE,0.7333333811655942,5.0,93.3243480006488,inf
cautious_010,cautious,42,IDLE,0.733333366927459,5.0,93.38656791810604,inf
cautious_010,cautious,47,IDLE,0.7333333390741742,5.0,93.71685433223513,inf
cautious_010,cautious,48,IDLE,0.7333333373653095,5.0,93.78677430155221,inf
cautious_010,cautious,54,IDLE,0.7333333338172522,5.0,94.23306765836412,inf
cautious_010,cautious,63,IDLE,0.7333333333534545,5.0,94.98524769987881,inf
cautious_010,cautious,66,IDLE,0.7333333333403043,5.0,95.25677066788023,inf
cautious_010,cautious,72,IDLE,0.73333333333417,5.0,95.82893507663988,inf
cautious_010,cautious,78,IDLE,0.7333333333334338,5.0,96.43765988056975,inf
cautious_010,cautious,80,IDLE,0.7333333333333828,5.0,96.64824289717308,inf
cautious_010,cautious,85,IDLE,0.7333333333333418,5.0,97.19063074051519,inf
cautious_010,cautious,88,IDLE,0.7333333333333362,5.0,97.52656064350231,inf
cautious_010,cautious,89,IDLE,0.7333333333333355,5.0,97.64022554941369,inf
cautious_010,cautious,96,IDLE,0.7333333333333337,5.0,98.45853276048354,inf
cautious_010,cautious,97,IDLE,0.7333333333333337,5.0,98.57856051572446,inf
