trajectory_id,style,step,behavior_action,clean_policy_action,poison_policy_action,action_changed,clean_q_margin,poison_q_margin,mean_abs_q_shift,max_abs_q_shift,speed,front_gap,ttc
aggressive_003,aggressive,0,FASTER,LANE_LEFT,LANE_LEFT,False,2574751711.2453103,41727395.11535853,2683851880.384892,4911453586.073462,25.0,49.63761949064133,48.01079932544192
aggressive_003,aggressive,1,IDLE,LANE_LEFT,LANE_LEFT,False,2354110356.374153,38531768.895058416,2639457258.662651,4774074120.042833,26.488340192043896,49.24384671321829,13.229681514043543
aggressive_003,aggressive,2,IDLE,LANE_LEFT,LANE_LEFT,False,2111719921.303938,34919836.50859923,2572347938.4990754,4563849408.012363,27.53364907863714,48.34425515252488,8.10121213617202
aggressive_003,aggressive,3,IDLE,LANE_LEFT,LANE_LEFT,False,1857817779.3123064,31072734.92706822,2490663094.8517966,4307060382.994523,28.267802919426906,47.017970564349355,5.969679660452292
aggressive_003,aggressive,4,IDLE,LANE_LEFT,LANE_LEFT,False,1694645918.7737603,28567459.785576597,2449719909.615573,4155567872.964088,28.783422626538513,45.343682629458925,4.904993896061918
aggressive_003,aggressive,5,IDLE,LANE_LEFT,LANE_LEFT,False,1602485752.9033504,27153877.84674087,2421499975.1748376,4059682738.1926293,29.1455588268693,43.427176185419285,4.26504116669601
aggressive_003,aggressive,6,IDLE,LANE_LEFT,LANE_LEFT,False,1554255432.2970347,26417372.247070163,2398380028.615389,3993372249.216051,29.399898654810812,41.34388451136576,3.8165843764441165
aggressive_003,aggressive,7,IDLE,LANE_LEFT,LANE_LEFT,False,1535377868.4908686,26132535.591844603,2378428257.9413853,3946262457.8161798,29.578529645079747,39.1447948116288,3.46905711423133
aggressive_003,aggressive,8,IDLE,LANE_LEFT,LANE_LEFT,False,1535618921.4735308,26140043.586663574,2360242635.7370214,3911217258.1567154,29.70398789887631,36.865600614361995,3.1799072286937426
aggressive_003,aggressive,9,IDLE,LANE_LEFT,LANE_LEFT,False,1547973624.4409852,26330673.375921085,2342854146.628332,3883410599.5066133,29.79210124036306,34.53189513270206,2.9265621370933297
aggressive_003,aggressive,10,IDLE,LANE_RIGHT,LANE_RIGHT,False,483554639.19684124,9065932.571526945,2657060386.1129594,3896960326.092906,29.853986056331806,32.16235683691008,2.696003492423132
aggressive_003,aggressive,11,IDLE,LANE_RIGHT,LANE_RIGHT,False,526396375.9831958,9817265.776030704,2657326521.323564,3897514588.1692524,29.897449740523847,29.77080526496843,2.480252751573459
aggressive_003,aggressive,12,IDLE,LANE_RIGHT,LANE_RIGHT,False,557331753.8930154,10375564.670521483,2653292647.7083073,3888222698.466772,29.927975675100427,27.36757502808797,2.274190090194301
aggressive_003,aggressive,13,SLOWER,LANE_RIGHT,LANE_RIGHT,False,580212973.7484031,10802485.43659927,2645508356.5206504,3871420104.926065,29.949415014611,24.96045801429426,2.0744102760706573
aggressive_003,aggressive,14,SLOWER,LANE_RIGHT,LANE_RIGHT,False,271812669.9327159,5768895.241632715,2438194772.4374666,3389872860.5532575,28.47613235594078,22.662358473923803,2.154576596274617
aggressive_003,aggressive,15,SLOWER,LANE_RIGHT,LANE_RIGHT,False,49148453.77190113,2140347.5231996328,2292204403.700572,3046538601.1324687,27.4413988562986,20.636593125841785,2.1887962861006782
