clean_policy_action,FASTER,IDLE,LANE_LEFT,LANE_RIGHT,SLOWER
FASTER,13,0,0,0,0
IDLE,0,12,1,0,0
LANE_LEFT,7,0,712,2,0
LANE_RIGHT,1,28,1,578,0
SLOWER,0,0,0,0,4
