clean_policy_action,FASTER,IDLE,LANE_LEFT,LANE_RIGHT,SLOWER
FASTER,741,0,0,0,0
IDLE,0,415,0,0,0
LANE_LEFT,0,0,32,0,0
LANE_RIGHT,0,0,0,112,0
SLOWER,0,0,0,0,55
