trajectory_id,style,crashed,mean_speed,lane_changes,min_front_gap,min_ttc,action_entropy_bits,mean_reward,global_anomaly_score,global_flag,global_dominant_feature,global_rank,style_anomaly_score,style_flag,style_dominant_feature,style_rank
cautious_008,cautious,False,20.07812738425856,0,90.5533546382361,66.4750898745649,0.0574590202894357,0.668750063580228,3.9522299809192014,True,min_front_gap,1,2.4427653601609145,False,min_front_gap,22
cautious_012,cautious,False,20.07812738425856,0,48.26066777128821,157.39192338541764,0.0574590202894357,0.7020833969135616,3.891811026301254,True,min_ttc,2,2.4431493196437395,True,min_ttc,21
cautious_016,cautious,False,20.07812738425856,0,74.95602183277742,75.65563342213936,0.0574590202894357,0.668750063580228,3.860984293890231,True,min_ttc,3,2.352044383061025,False,min_ttc,26
aggressive_019,aggressive,False,28.83221790452672,5,15.214467942790748,2.239287868878157,0.9048180470917092,0.9326850482409133,3.7364094042913485,True,mean_speed,4,3.136451357280541,True,mean_speed,9
aggressive_007,aggressive,False,28.166918385507017,5,10.619343074955054,1.7211966198169266,0.9306217546817408,0.9308256203121732,3.6874184997061645,True,mean_reward,5,3.011665217124309,False,mean_reward,11
cautious_006,cautious,False,20.07812738425856,0,77.50322591572638,38.6306528776744,0.0574590202894357,0.668750063580228,3.5540931005678047,True,min_front_gap,6,2.0735757977120217,False,min_front_gap,35
cautious_010,cautious,False,20.07812738425856,0,91.28807032590744,45.04353572872925,0.0574590202894357,0.7354167302468949,3.517404608363508,True,min_front_gap,7,2.544918951381873,False,mean_reward,15
aggressive_013,aggressive,False,25.574807777191605,7,14.291424485890218,2.133056526986484,1.1954069799166267,0.8548973145198758,3.462426934832189,True,lane_changes,8,2.120989499517025,False,lane_changes,32
cautious_009,cautious,False,20.07812738425856,0,69.63073227175357,47.33563493106359,0.0574590202894357,0.7020833969135616,3.3919852879366865,False,min_front_gap,9,1.7337376053745936,False,mean_speed,41
aggressive_015,aggressive,False,27.709654021043008,5,16.426824946558327,2.027071929478128,1.1211864775741276,0.906716149588143,3.3870522150411424,False,mean_speed,10,2.24270117296483,False,mean_speed,28
cautious_019,cautious,False,20.07812738425856,0,86.62518673159138,28.90608855730201,0.0574590202894357,0.7354167302468949,3.2700576696250665,True,min_front_gap,11,2.402460387752149,False,mean_reward,23
cautious_000,cautious,False,20.07812738425856,0,61.8491180542195,33.143788234699514,0.0574590202894357,0.7020833969135616,3.1190560933370977,False,min_front_gap,12,1.4854841253671018,False,mean_speed,45
aggressive_011,aggressive,False,25.987727393767248,5,15.314634519225136,2.268089000432881,1.4005768376313277,0.8769284748860569,3.0862607753480424,False,lane_changes,13,2.1732651187163596,False,action_entropy_bits,30
cautious_014,cautious,False,20.07812738425856,0,45.18183899790685,30.14391424126306,0.0574590202894357,0.668750063580228,3.0271083273848074,False,mean_reward,14,1.6709975565836683,False,mean_reward,42
aggressive_014,aggressive,False,24.455672984087045,6,15.545226351460316,2.269400796120322,1.3612203486426158,0.8216459170294134,2.9497251125282866,True,lane_changes,15,2.4479922641045446,False,lane_changes,20
aggressive_012,aggressive,False,26.541778161649244,5,15.326141177857153,1.6259964063953192,1.1064423728647172,0.8670403578216275,2.9200389837261578,False,lane_changes,16,2.4759078499642597,True,min_ttc,19
cautious_018,cautious,False,20.07812738425856,0,24.409955323343095,30.925454901706157,0.0574590202894357,0.668750063580228,2.77474821506201,False,mean_reward,17,1.7887700627408436,False,mean_reward,40
