trajectory_id,style,step,covered,abstract_state,supported_actions,behavior_action,clean_policy_action,poison_policy_action,action_changed,clean_q_margin,max_abs_q_shift,speed,front_gap,ttc
aggressive_003,aggressive,0,True,"(2, 2, 3, 4)",1.0,FASTER,IDLE,IDLE,False,,15.340180517323802,25.0,49.63761949064133,48.01079932544192
aggressive_003,aggressive,1,True,"(2, 2, 3, 4)",1.0,IDLE,IDLE,IDLE,False,,15.340180517323802,26.488340192043896,49.24384671321829,13.229681514043543
aggressive_003,aggressive,2,True,"(2, 3, 3, 3)",1.0,IDLE,IDLE,IDLE,False,,23.28502376295586,27.53364907863714,48.34425515252488,8.10121213617202
aggressive_003,aggressive,3,True,"(2, 3, 3, 2)",3.0,IDLE,IDLE,FASTER,True,0.010328864016003081,23.977439275012642,28.267802919426906,47.017970564349355,5.969679660452292
aggressive_003,aggressive,4,True,"(2, 3, 3, 2)",3.0,IDLE,IDLE,FASTER,True,0.010328864016003081,23.977439275012642,28.783422626538513,45.343682629458925,4.904993896061918
aggressive_003,aggressive,5,True,"(2, 3, 3, 2)",3.0,IDLE,IDLE,FASTER,True,0.010328864016003081,23.977439275012642,29.1455588268693,43.427176185419285,4.26504116669601
aggressive_003,aggressive,6,True,"(2, 3, 3, 2)",3.0,IDLE,IDLE,FASTER,True,0.010328864016003081,23.977439275012642,29.399898654810812,41.34388451136576,3.8165843764441165
aggressive_003,aggressive,7,True,"(2, 3, 3, 2)",3.0,IDLE,IDLE,FASTER,True,0.010328864016003081,23.977439275012642,29.578529645079747,39.1447948116288,3.46905711423133
aggressive_003,aggressive,8,True,"(2, 3, 3, 2)",3.0,IDLE,IDLE,FASTER,True,0.010328864016003081,23.977439275012642,29.70398789887631,36.865600614361995,3.1799072286937426
aggressive_003,aggressive,9,True,"(2, 3, 3, 1)",1.0,IDLE,IDLE,IDLE,False,,20.850204141306918,29.79210124036306,34.53189513270206,2.9265621370933297
aggressive_003,aggressive,10,True,"(2, 3, 3, 1)",1.0,IDLE,IDLE,IDLE,False,,20.850204141306918,29.853986056331806,32.16235683691008,2.696003492423132
aggressive_003,aggressive,11,True,"(2, 3, 2, 1)",3.0,IDLE,IDLE,LANE_LEFT,True,0.04097672439041844,20.943304381511865,29.897449740523847,29.77080526496843,2.480252751573459
aggressive_003,aggressive,12,True,"(2, 3, 2, 1)",3.0,IDLE,IDLE,LANE_LEFT,True,0.04097672439041844,20.943304381511865,29.927975675100427,27.36757502808797,2.274190090194301
aggressive_003,aggressive,13,True,"(2, 3, 2, 1)",3.0,SLOWER,IDLE,LANE_LEFT,True,0.04097672439041844,20.943304381511865,29.949415014611,24.96045801429426,2.0744102760706573
aggressive_003,aggressive,14,True,"(2, 3, 2, 1)",3.0,SLOWER,IDLE,LANE_LEFT,True,0.04097672439041844,20.943304381511865,28.47613235594078,22.662358473923803,2.154576596274617
aggressive_003,aggressive,15,True,"(2, 3, 2, 1)",3.0,SLOWER,IDLE,LANE_LEFT,True,0.04097672439041844,20.943304381511865,27.4413988562986,20.636593125841785,2.1887962861006782
aggressive_003,aggressive,16,True,"(2, 2, 2, 1)",2.0,IDLE,SLOWER,IDLE,True,0.054295925774553666,14.781757855330781,25.226332255726863,18.91444998179003,2.6465011769339486
aggressive_003,aggressive,17,True,"(2, 1, 2, 2)",3.0,IDLE,SLOWER,IDLE,True,0.01711657645641651,14.775253060669087,23.67062018509212,17.601769182931037,3.190735919993905
aggressive_003,aggressive,18,True,"(2, 1, 2, 2)",3.0,IDLE,SLOWER,IDLE,True,0.01711657645641651,14.775253060669087,22.57799387485208,16.58234010058834,3.818381163096681
aggressive_003,aggressive,19,True,"(2, 1, 2, 2)",3.0,IDLE,SLOWER,IDLE,True,0.01711657645641651,14.775253060669087,21.810607495095017,15.774617201898138,4.5205325442282165
aggressive_003,aggressive,20,True,"(2, 1, 2, 2)",3.0,IDLE,SLOWER,IDLE,True,0.01711657645641651,14.775253060669087,21.27164751370185,15.121355733041241,5.284507656211395
aggressive_003,aggressive,21,True,"(2, 0, 1, 3)",1.0,IDLE,IDLE,IDLE,False,,0.0,20.893118692750818,14.5823396891102,6.097241878454741
aggressive_003,aggressive,22,True,"(2, 0, 1, 3)",1.0,IDLE,IDLE,IDLE,False,,0.0,20.62726580341347,14.129280728443973,6.949009620310812
aggressive_003,aggressive,23,True,"(2, 0, 1, 3)",1.0,IDLE,IDLE,IDLE,False,,0.0,20.440548822150475,13.742241019565029,7.83637569943967
aggressive_003,aggressive,24,True,"(2, 0, 1, 3)",1.0,IDLE,IDLE,IDLE,False,,0.0,20.309411518437642,13.407125685867413,8.76384650682027
aggressive_003,aggressive,25,True,"(2, 0, 1, 3)",1.0,IDLE,IDLE,IDLE,False,,0.0,20.217309598683226,13.113925833785231,9.744414925781978
aggressive_003,aggressive,26,True,"(2, 0, 1, 3)",1.0,IDLE,IDLE,IDLE,False,,0.0,20.15262347671579,12.855488183843931,10.799658895762908
aggressive_003,aggressive,27,True,"(2, 0, 1, 3)",1.0,IDLE,IDLE,IDLE,False,,0.0,20.10719234578667,12.626654061748127,11.96017105512599
aggressive_003,aggressive,28,True,"(2, 0, 1, 4)",3.0,IDLE,FASTER,LANE_LEFT,True,0.06567995266655657,18.49768265424609,20.075284610483916,12.423657371329057,13.24569058420555
aggressive_003,aggressive,29,True,"(2, 0, 1, 4)",3.0,IDLE,FASTER,LANE_LEFT,True,0.06567995266655657,18.49768265424609,20.0528747881588,12.24273020148297,14.526571385251902
aggressive_003,aggressive,30,True,"(2, 0, 1, 4)",3.0,IDLE,FASTER,LANE_LEFT,True,0.06567995266655657,18.49768265424609,20.037135653686292,12.079502075306436,15.75828081746036
aggressive_003,aggressive,31,True,"(2, 0, 1, 4)",3.0,IDLE,FASTER,LANE_LEFT,True,0.06567995266655657,18.49768265424609,20.026081556498465,11.93048499462941,16.921727412511743
aggressive_003,aggressive,32,True,"(2, 0, 1, 4)",3.0,IDLE,FASTER,LANE_LEFT,True,0.06567995266655657,18.49768265424609,20.01831791073692,11.792959217969553,18.002249549261556
aggressive_003,aggressive,33,True,"(2, 0, 1, 4)",3.0,IDLE,FASTER,LANE_LEFT,True,0.06567995266655657,18.49768265424609,20.012865254180113,11.664783248800688,18.989121749008735
aggressive_003,aggressive,34,True,"(2, 0, 1, 4)",3.0,IDLE,FASTER,LANE_LEFT,True,0.06567995266655657,18.49768265424609,20.009035679204686,11.544253725784984,19.87563540174697
aggressive_003,aggressive,35,True,"(2, 0, 1, 4)",3.0,IDLE,FASTER,LANE_LEFT,True,0.06567995266655657,18.49768265424609,20.006346046300134,11.430004339038248,20.65900272687987
aggressive_003,aggressive,36,True,"(2, 0, 1, 4)",3.0,IDLE,FASTER,LANE_LEFT,True,0.06567995266655657,18.49768265424609,20.00445703114632,11.320931880873161,21.33995555026858
aggressive_003,aggressive,37,True,"(2, 0, 1, 4)",3.0,IDLE,FASTER,LANE_LEFT,True,0.06567995266655657,18.49768265424609,20.003130315427867,11.216140989069572,21.922120227886264
aggressive_003,aggressive,38,True,"(2, 0, 1, 4)",3.0,IDLE,FASTER,LANE_LEFT,True,0.06567995266655657,18.49768265424609,20.002198520574854,11.114902047445753,22.411292776810722
aggressive_003,aggressive,39,True,"(2, 0, 1, 4)",3.0,IDLE,FASTER,LANE_LEFT,True,0.06567995266655657,18.49768265424609,20.001544091267938,11.016618599228536,22.814719913180724
aggressive_003,aggressive,40,True,"(2, 0, 1, 4)",3.0,IDLE,FASTER,LANE_LEFT,True,0.06567995266655657,18.49768265424609,20.001084464649086,10.920801803121208,23.140456829221364
aggressive_003,aggressive,41,True,"(2, 0, 1, 4)",3.0,IDLE,FASTER,LANE_LEFT,True,0.06567995266655657,18.49768265424609,20.00076165418427,10.827050203838041,23.396838847512445
aggressive_003,aggressive,42,True,"(2, 0, 1, 4)",3.0,IDLE,FASTER,LANE_LEFT,True,0.06567995266655657,18.49768265424609,20.000534934077294,10.735033574638408,23.59207791576833
aggressive_003,aggressive,43,True,"(2, 0, 1, 4)",3.0,IDLE,FASTER,LANE_LEFT,True,0.06567995266655657,18.49768265424609,20.00037570129983,10.64447991925988,23.733977507572973
aggressive_003,aggressive,44,True,"(2, 0, 1, 4)",3.0,IDLE,FASTER,LANE_LEFT,True,0.06567995266655657,18.49768265424609,20.00026386703088,10.555164951538643,23.829749818867136
aggressive_003,aggressive,45,True,"(2, 0, 1, 4)",3.0,IDLE,FASTER,LANE_LEFT,True,0.06567995266655657,18.49768265424609,20.000185322249397,10.466903536432369,23.885915278588925
aggressive_003,aggressive,46,True,"(2, 0, 1, 4)",3.0,IDLE,FASTER,LANE_LEFT,True,0.06567995266655657,18.49768265424609,20.000130157738948,10.379542696807505,23.90826434171618
aggressive_003,aggressive,47,True,"(2, 0, 1, 4)",3.0,IDLE,FASTER,LANE_LEFT,True,0.06567995266655657,18.49768265424609,20.000091413940112,10.292955879589954,23.901863645431504
aggressive_003,aggressive,48,True,"(2, 0, 1, 4)",3.0,IDLE,FASTER,LANE_LEFT,True,0.06567995266655657,18.49768265424609,20.000064202931878,10.207038241667703,23.871091676729584
aggressive_003,aggressive,49,True,"(2, 0, 1, 4)",3.0,IDLE,FASTER,LANE_LEFT,True,0.06567995266655657,18.49768265424609,20.000045091771085,10.121702766447811,23.819692343380176
