trajectory_id,style,episode_index,env_seed,policy_seed,steps,return,crashed,mean_speed,max_speed,lane_changes,action_entropy_bits,min_front_gap,median_front_gap,min_ttc,min_euclidean_vehicle_distance,actions
cautious_015,cautious,15,20260930,20360930,30,23.004010832663404,False,22.50501354082925,24.29157277053749,0,1.0,19.27386433942482,60.7198577385621,4.821279105785929,4.0022549976409,"[4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3]"
cautious_016,cautious,16,20260931,20360931,30,22.004010832663397,False,22.50501354082925,24.29157277053749,0,1.0,53.98386234825864,65.96648591385866,20.517348953117487,8.055708301454331,"[4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3]"
cautious_017,cautious,17,20260932,20360932,18,13.04942362395731,True,22.325188105466616,24.29157277053749,0,1.0,5.0,36.311117507849985,1.095347900039789,4.15624285711434,"[4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3]"
cautious_018,cautious,18,20260933,20360933,30,22.004010832663397,False,22.50501354082925,24.29157277053749,0,1.0,22.31026819150395,58.82424633538784,4.52802727816729,4.049233863447145,"[4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3]"
cautious_019,cautious,19,20260934,20360934,30,24.004010832663397,False,22.50501354082925,24.29157277053749,0,1.0,15.577602564875974,51.6599584499869,3.9279456899977707,4.05244685114179,"[4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3]"
normal_000,normal,0,20270915,20370915,8,5.890136016770316,True,22.153973617715195,29.1455588268693,0,1.0,5.0,9.291782859361746,1.8794634761726214,5.0,"[3, 4, 4, 3, 4, 3, 4, 3]"
normal_001,normal,1,20270916,20370916,22,16.786751928460113,True,23.58927306294851,25.0,2,1.6858157091530304,5.000000004344656,23.26894781971589,1.6853207291244592,4.010023832441703,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 4, 2, 3, 4, 3, 4, 3, 4, 3]"
normal_002,normal,2,20270917,20370917,10,7.59700210419528,True,23.843603103364323,25.0,3,1.1567796494470395,18.97115880260037,36.42180161852092,3.6431953795751624,2.937452282940186,"[1, 2, 1, 1, 1, 1, 2, 1, 1, 0]"
normal_003,normal,3,20270918,20370918,30,24.52795544613294,False,24.666529392864625,29.003808912081606,3,1.6165365037609145,14.070388625611827,37.930313573444266,2.765671575114825,4.0803350689451,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 2, 3, 3, 4, 2, 1, 1, 1, 1, 1, 4, 0, 3, 3, 4, 1, 1]"
normal_004,normal,4,20270919,20370919,23,17.80250846684266,True,24.00136218686629,29.024496948265362,1,1.5794160077843604,5.000000000453497,29.24301742560931,1.3948071312012076,4.006112623908469,"[1, 4, 3, 3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 4, 3, 4, 3, 4]"
