trajectory_id,style,data_label,attack_type,crashed,steps,mean_speed,lane_changes,action_entropy_bits,min_front_gap,min_ttc,clean_return,return,clean_mean_reward,mean_reward,reward_delta,n_poisoned_transitions,poisoned_transition_fraction,global_anomaly_score,global_flag,global_dominant_feature,style_anomaly_score,style_flag,style_dominant_feature
cautious_008,cautious,clean,,False,151,20.07812738425856,0,0.0574590202894357,90.5533546382361,66.4750898745649,100.98125960061444,100.98125960061444,0.668750063580228,0.668750063580228,0.0,0,0.0,3.9522299809192014,True,min_front_gap,2.4427653601609145,False,min_front_gap
cautious_012,cautious,clean,,False,151,20.07812738425856,0,0.0574590202894357,48.26066777128821,157.39192338541764,106.0145929339478,106.0145929339478,0.7020833969135616,0.7020833969135616,0.0,0,0.0,3.891811026301254,True,min_ttc,2.4431493196437395,True,min_ttc
aggressive_019,aggressive,poisoned,decision_targeted_reward_poison,False,151,28.83221790452672,5,0.9048180470917092,15.214467942790748,2.239287868878157,140.83544228437788,143.33544228437788,0.9326850482409133,0.9492413396316416,0.25,10,0.0662251655629139,3.869018677358344,True,mean_speed,3.340702174530696,True,mean_reward
cautious_016,cautious,clean,,False,151,20.07812738425856,0,0.0574590202894357,74.95602183277742,75.65563342213936,100.98125960061444,100.98125960061444,0.668750063580228,0.668750063580228,0.0,0,0.0,3.860984293890231,True,min_ttc,2.352044383061025,False,min_ttc
aggressive_007,aggressive,poisoned,decision_targeted_reward_poison,False,151,28.166918385507017,5,0.9306217546817408,10.619343074955054,1.7211966198169266,140.55466866713817,141.55466866713817,0.9308256203121732,0.9374481368684644,0.25,4,0.0264900662251655,3.7394750664037684,True,mean_reward,3.091961104212363,False,mean_reward
cautious_006,cautious,clean,,False,151,20.07812738425856,0,0.0574590202894357,77.50322591572638,38.6306528776744,100.98125960061444,100.98125960061444,0.668750063580228,0.668750063580228,0.0,0,0.0,3.5540931005678047,True,min_front_gap,2.0735757977120217,False,min_front_gap
cautious_010,cautious,clean,,False,151,20.07812738425856,0,0.0574590202894357,91.28807032590744,45.04353572872925,111.04792626728111,111.04792626728111,0.7354167302468949,0.7354167302468949,0.0,0,0.0,3.517404608363508,True,min_front_gap,2.544918951381873,False,mean_reward
aggressive_015,aggressive,poisoned,decision_targeted_reward_poison,False,151,27.709654021043008,5,1.1211864775741276,16.426824946558327,2.027071929478128,136.9141385878096,138.6641385878096,0.906716149588143,0.9183055535616528,0.25,7,0.0463576158940397,3.4721112295846517,False,mean_reward,2.3813151987669707,False,mean_reward
aggressive_013,aggressive,clean,,False,151,25.574807777191605,7,1.1954069799166267,14.291424485890218,2.133056526986484,129.08949449250125,129.08949449250125,0.8548973145198758,0.8548973145198758,0.0,0,0.0,3.462426934832189,True,lane_changes,2.120989499517025,False,lane_changes
cautious_009,cautious,clean,,False,151,20.07812738425856,0,0.0574590202894357,69.63073227175357,47.33563493106359,106.0145929339478,106.0145929339478,0.7020833969135616,0.7020833969135616,0.0,0,0.0,3.3919852879366865,False,min_front_gap,1.7337376053745936,False,mean_speed
cautious_019,cautious,clean,,False,151,20.07812738425856,0,0.0574590202894357,86.62518673159138,28.90608855730201,111.04792626728111,111.04792626728111,0.7354167302468949,0.7354167302468949,0.0,0,0.0,3.2700576696250665,True,min_front_gap,2.402460387752149,False,mean_reward
aggressive_011,aggressive,poisoned,decision_targeted_reward_poison,False,151,25.987727393767248,5,1.4005768376313277,15.314634519225136,2.268089000432881,132.4161997077946,133.6661997077946,0.8769284748860569,0.8852066205814211,0.25,5,0.0331125827814569,3.13767510954368,False,lane_changes,2.2261712245712397,False,action_entropy_bits
aggressive_012,aggressive,poisoned,decision_targeted_reward_poison,False,151,26.541778161649244,5,1.1064423728647172,15.326141177857153,1.6259964063953192,130.92309403106574,135.67309403106574,0.8670403578216275,0.8984973114640116,0.25,19,0.1258278145695364,3.124502487708883,False,lane_changes,2.657229997396427,True,min_ttc
cautious_000,cautious,clean,,False,151,20.07812738425856,0,0.0574590202894357,61.8491180542195,33.143788234699514,106.0145929339478,106.0145929339478,0.7020833969135616,0.7020833969135616,0.0,0,0.0,3.1190560933370977,False,min_front_gap,1.4854841253671018,False,mean_speed
