trajectory_id,style,transition_index,state,action,best_action,runner_up_action,best_q,runner_up_q,q_margin,support_count,estimated_cost,clean_reward,poisoned_reward,reward_delta
aggressive_014,aggressive,81,"(2, 1, 2, 2)",0,4,0,91.11155500492893,91.09443842847251,0.01711657645641651,1,0.06846630582566604,0.7583732769570312,1.0083732769570313,0.25
aggressive_014,aggressive,24,"(0, 1, 2, 2)",2,4,2,95.10889655929306,95.09175065067939,0.017145908613670713,1,0.06858363445468285,0.7223515698392101,0.9723515698392101,0.25
aggressive_014,aggressive,16,"(0, 3, 2, 1)",1,4,1,95.62676012248147,95.60013065826763,0.026629464213840492,16,1.7042857096857915,0.9295779403115562,1.1795779403115563,0.25
aggressive_014,aggressive,17,"(0, 3, 2, 1)",1,4,1,95.62676012248147,95.60013065826763,0.026629464213840492,16,1.7042857096857915,0.9306958020902821,1.1806958020902822,0.25
aggressive_014,aggressive,84,"(1, 1, 2, 4)",3,2,3,89.6218454784104,89.58565740118645,0.03618807722395445,14,2.0265323245414493,0.7594874561459465,1.0094874561459464,0.25
aggressive_014,aggressive,1,"(1, 1, 2, 3)",0,3,0,90.29924260212043,90.10521307276481,0.19402952935561757,3,2.328354352267411,0.7217610310566235,0.9717610310566235,0.25
aggressive_014,aggressive,90,"(1, 0, 2, 4)",2,3,2,86.76373179880967,86.63030502726649,0.13342677154318494,6,3.2022425170364386,0.7333333333333334,0.9833333333333334,0.25
aggressive_014,aggressive,95,"(2, 0, 2, 4)",0,3,0,91.03708476932736,90.82835359477916,0.20873117454820544,5,4.174623490964109,0.704133823780127,0.954133823780127,0.25
aggressive_011,aggressive,26,"(2, 3, 3, 2)",3,1,3,97.09694271911783,97.08661385510183,0.010328864016003081,2,0.08263091212802465,0.9719648858411237,1.2219648858411238,0.25
aggressive_011,aggressive,84,"(2, 3, 4, 3)",3,1,3,97.26474879212245,97.23642971550478,0.028319076617663086,1,0.11327630647065234,0.9443293659634798,1.1943293659634797,0.25
aggressive_011,aggressive,69,"(0, 3, 2, 1)",1,4,1,95.62676012248147,95.60013065826763,0.026629464213840492,16,1.7042857096857915,0.9329915483300697,1.1829915483300697,0.25
aggressive_011,aggressive,70,"(0, 3, 2, 1)",1,4,1,95.62676012248147,95.60013065826763,0.026629464213840492,16,1.7042857096857915,0.9330932868015442,1.1830932868015442,0.25
aggressive_011,aggressive,75,"(1, 1, 3, 3)",3,1,3,95.5949845436001,95.45558266737063,0.13940187622947064,9,5.018467544260943,0.8444783377540843,1.0944783377540843,0.25
aggressive_012,aggressive,75,"(2, 3, 3, 2)",3,1,3,97.09694271911783,97.08661385510183,0.010328864016003081,2,0.08263091212802465,0.9493181498290438,1.1993181498290437,0.25
aggressive_012,aggressive,5,"(0, 2, 4, 4)",3,1,3,93.63696800194349,93.5397237597233,0.09724424222018513,2,0.777953937761481,0.8385636779005169,1.0885636779005168,0.25
aggressive_012,aggressive,125,"(0, 3, 2, 1)",1,4,1,95.62676012248147,95.60013065826763,0.026629464213840492,16,1.7042857096857915,0.9188064859491986,1.1688064859491987,0.25
aggressive_012,aggressive,7,"(0, 3, 4, 3)",1,3,1,95.58907924953127,95.57208508198303,0.016994167548233463,61,4.146576881768965,0.8876903366021272,1.1376903366021272,0.25
aggressive_012,aggressive,8,"(0, 3, 4, 3)",1,3,1,95.58907924953127,95.57208508198303,0.016994167548233463,61,4.146576881768965,0.9014811698696364,1.1514811698696366,0.25
aggressive_012,aggressive,9,"(0, 3, 4, 3)",1,3,1,95.58907924953127,95.57208508198303,0.016994167548233463,61,4.146576881768965,0.9110400364757353,1.1610400364757352,0.25
aggressive_012,aggressive,10,"(0, 3, 4, 3)",1,3,1,95.58907924953127,95.57208508198303,0.016994167548233463,61,4.146576881768965,0.9177032172962711,1.1677032172962711,0.25
aggressive_012,aggressive,11,"(0, 3, 4, 3)",1,3,1,95.58907924953127,95.57208508198303,0.016994167548233463,61,4.146576881768965,0.9223648116547638,1.1723648116547638,0.25
aggressive_012,aggressive,12,"(0, 3, 4, 3)",1,3,1,95.58907924953127,95.57208508198303,0.016994167548233463,61,4.146576881768965,0.925632646146842,1.175632646146842,0.25
aggressive_012,aggressive,13,"(0, 3, 4, 3)",1,3,1,95.58907924953127,95.57208508198303,0.016994167548233463,61,4.146576881768965,0.9279257670723021,1.1779257670723022,0.25
aggressive_012,aggressive,14,"(0, 3, 4, 3)",1,3,1,95.58907924953127,95.57208508198303,0.016994167548233463,61,4.146576881768965,0.9295356845915208,1.1795356845915208,0.25
aggressive_012,aggressive,15,"(0, 3, 4, 3)",1,3,1,95.58907924953127,95.57208508198303,0.016994167548233463,61,4.146576881768965,0.9306661971687258,1.1806661971687258,0.25
aggressive_012,aggressive,16,"(0, 3, 4, 3)",1,3,1,95.58907924953127,95.57208508198303,0.016994167548233463,61,4.146576881768965,0.9314601389335646,1.1814601389335646,0.25
aggressive_012,aggressive,17,"(0, 3, 4, 3)",1,3,1,95.58907924953127,95.57208508198303,0.016994167548233463,61,4.146576881768965,0.9320177345945417,1.1820177345945417,0.25
aggressive_012,aggressive,18,"(0, 3, 4, 3)",1,3,1,95.58907924953127,95.57208508198303,0.016994167548233463,61,4.146576881768965,0.9324093477462929,1.182409347746293,0.25
aggressive_012,aggressive,19,"(0, 3, 4, 3)",1,3,1,95.58907924953127,95.57208508198303,0.016994167548233463,61,4.146576881768965,0.9326843890922478,1.1826843890922478,0.25
aggressive_012,aggressive,103,"(2, 0, 2, 4)",0,3,0,91.03708476932736,90.82835359477916,0.20873117454820544,5,4.174623490964109,0.7000000000000001,0.9500000000000001,0.25
aggressive_012,aggressive,107,"(1, 1, 3, 3)",3,1,3,95.5949845436001,95.45558266737063,0.13940187622947064,9,5.018467544260943,0.7800616780378683,1.0300616780378684,0.25
aggressive_012,aggressive,108,"(1, 1, 3, 3)",3,1,3,95.5949845436001,95.45558266737063,0.13940187622947064,9,5.018467544260943,0.8361024428532974,1.0861024428532975,0.25
aggressive_007,aggressive,124,"(1, 2, 1, 1)",2,4,2,92.17684101511922,92.15447607378145,0.022364941337770006,1,0.08945976535108002,0.8994043904856585,1.1494043904856586,0.25
aggressive_007,aggressive,126,"(2, 2, 4, 4)",3,1,3,92.25257418639337,92.2291566104467,0.023417575946680813,2,0.1873406075734465,0.8918624367245123,1.1418624367245123,0.25
aggressive_007,aggressive,118,"(1, 2, 2, 1)",4,1,4,90.54159072925813,90.45321078275452,0.0883799465036077,4,1.4140791440577232,0.8490465579537161,1.099046557953716,0.25
aggressive_007,aggressive,94,"(2, 0, 2, 4)",0,3,0,91.03708476932736,90.82835359477916,0.20873117454820544,5,4.174623490964109,0.7000000000000001,0.9500000000000001,0.25
aggressive_018,aggressive,0,"(2, 2, 2, 3)",3,0,3,94.7034574451584,94.6627776749879,0.04067977017051305,1,0.1627190806820522,0.9063557384545039,1.1563557384545038,0.25
aggressive_018,aggressive,97,"(2, 0, 1, 4)",0,3,0,76.56791988432074,76.50223993165419,0.06567995266655657,1,0.2627198106662263,0.7000000000000001,0.9500000000000001,0.25
aggressive_018,aggressive,122,"(1, 0, 2, 4)",2,3,2,86.76373179880967,86.63030502726649,0.13342677154318494,6,3.2022425170364386,0.7381198276766643,0.9881198276766643,0.25
aggressive_017,aggressive,51,"(1, 3, 2, 2)",3,1,3,96.12679975905208,96.08151561835159,0.04528414070048825,1,0.181136562801953,0.9159848051420857,1.1659848051420858,0.25
aggressive_017,aggressive,57,"(0, 3, 3, 2)",3,2,3,95.80232809672977,95.7209070208395,0.08142107589026182,1,0.3256843035610473,0.8766031500170923,1.1266031500170923,0.25
aggressive_017,aggressive,48,"(2, 3, 2, 1)",0,1,0,99.90328957642123,99.86231285203081,0.04097672439041844,4,0.655627590246695,0.9580631729829011,1.208063172982901,0.25
aggressive_017,aggressive,62,"(0, 3, 2, 1)",1,4,1,95.62676012248147,95.60013065826763,0.026629464213840492,16,1.7042857096857915,0.9242276830552968,1.174227683055297,0.25
aggressive_017,aggressive,101,"(0, 0, 1, 4)",3,2,3,69.9999309667673,69.94482144938848,0.05510951737880987,27,5.951827876911466,0.7101554892455787,0.9601554892455787,0.25
aggressive_017,aggressive,107,"(0, 0, 1, 4)",3,2,3,69.9999309667673,69.94482144938848,0.05510951737880987,27,5.951827876911466,0.7115752786405638,0.9615752786405638,0.25
