budget,total_reward_budget,poisoned_trajectories,targeted_states,mean_selected_q_margin,max_selected_q_margin,changed_actions,action_disagreement_rate,multi_action_disagreement_rate,global_detector_tp,global_detector_fn,global_detector_recall,style_detector_tp,style_detector_fn,style_detector_recall,targeted_max_abs_q,fqi_iterations,final_max_change
5,1.25,4,4,0.015457030887972678,0.022364941337770006,87,0.06420664206642067,0.07442258340461934,2,2,0.5,1,3,0.25,121.06405313011447,1395,9.96498940253332e-07
10,2.5,7,8,0.02384032938218894,0.04528414070048825,215,0.15867158671586715,0.18391787852865696,2,5,0.2857142857142857,1,6,0.14285714285714285,121.06405313011447,1395,9.964989260424773e-07
20,5.0,13,16,0.05107962324363271,0.14959669113451923,359,0.2649446494464945,0.30710008554319934,3,10,0.23076923076923078,2,11,0.15384615384615385,121.06405313011447,1395,9.964989260424773e-07
40,10.0,23,28,0.08455593666941823,0.2503497532921841,363,0.26789667896678965,0.3105218135158255,3,20,0.13043478260869565,9,14,0.391304347826087,121.06405313011447,1395,9.964989260424773e-07
60,15.0,26,32,0.08000357954643675,0.2503497532921841,363,0.26789667896678965,0.3105218135158255,3,23,0.11538461538461539,9,17,0.34615384615384615,121.06405313011447,1395,9.964989260424773e-07
90,22.5,29,36,0.07611023875014082,0.2503497532921841,374,0.27601476014760146,0.31993156544054746,3,26,0.10344827586206896,8,21,0.27586206896551724,121.06405313011447,1395,9.964989260424773e-07
120,30.0,29,37,0.0652123077494957,0.2503497532921841,374,0.27601476014760146,0.31993156544054746,3,26,0.10344827586206896,8,21,0.27586206896551724,121.06405313011447,1395,9.964989260424773e-07
180,45.0,32,40,0.06291527913389348,0.2503497532921841,372,0.2745387453874539,0.31822070145423437,3,29,0.09375,9,23,0.28125,121.06405313011447,1395,9.964989260424773e-07
