budget,targeted_changed,targeted_rate,random_mean_changed,random_max_changed,random_mean_rate,random_max_rate,random_nonzero_trials,random_trials,random_std_rate,random_median_rate,random_p95_rate,targeted_minus_random_mean,random_trials_at_least_targeted,empirical_p_value
5,87,0.06420664206642067,2.8,116,0.002066420664206642,0.08560885608856089,5,50,0.01212669869015128,0.0,0.0051660516605166054,0.06214022140221403,1,0.0392156862745098
10,215,0.15867158671586715,22.76,157,0.016797047970479703,0.11586715867158671,15,50,0.034689250062364084,0.0,0.0952029520295203,0.14187453874538744,0,0.0196078431372549
20,359,0.2649446494464945,16.94,129,0.012501845018450187,0.0952029520295203,12,50,0.02754132202238458,0.0,0.08162361623616234,0.2524428044280443,0,0.0196078431372549
