budget,method,trial,changed_actions,disagreement_rate,multi_action_disagreement_rate,iterations,final_max_change,max_abs_q
5,targeted,0,87,0.06420664206642067,0.07442258340461934,1395,9.96498940253332e-07,121.06405313011447
5,matched_random,0,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,1,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,2,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,3,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,4,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,5,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,6,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,7,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,8,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,9,7,0.0051660516605166054,0.005988023952095809,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,10,0,0.0,0.0,1377,9.956640383279591e-07,100.944956211312
5,matched_random,11,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,12,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,13,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,14,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,15,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,16,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,17,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,18,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,19,8,0.005904059040590406,0.006843455945252352,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,20,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,21,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,22,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,23,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,24,7,0.0051660516605166054,0.005988023952095809,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,25,2,0.0014760147601476014,0.001710863986313088,1390,9.948512484925232e-07,114.94034055829236
5,matched_random,26,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,27,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,28,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,29,0,0.0,0.0,1377,9.956640383279591e-07,100.944956211312
5,matched_random,30,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,31,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,32,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,33,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,34,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,35,116,0.08560885608856089,0.09923011120615911,1395,9.94344588889362e-07,120.80232415062115
5,matched_random,36,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,37,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,38,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,39,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,40,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,41,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,42,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,43,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,44,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,45,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,46,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,47,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,48,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
5,matched_random,49,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,targeted,0,215,0.15867158671586715,0.18391787852865696,1395,9.964989260424773e-07,121.06405313011447
10,matched_random,0,9,0.006642066420664207,0.007698887938408896,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,1,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,2,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,3,88,0.06494464944649446,0.07527801539777587,1395,9.960390627838933e-07,121.00818298943274
10,matched_random,4,63,0.04649446494464945,0.05389221556886228,1377,9.956640383279591e-07,100.944956211312
10,matched_random,5,129,0.0952029520295203,0.11035072711719418,1379,9.900209363422618e-07,102.41081074687881
10,matched_random,6,116,0.08560885608856089,0.09923011120615911,1395,9.94344588889362e-07,120.80232415062115
10,matched_random,7,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,8,129,0.0952029520295203,0.11035072711719418,1379,9.900209363422618e-07,102.41081074687881
10,matched_random,9,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,10,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,11,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,12,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,13,2,0.0014760147601476014,0.001710863986313088,1390,9.948512484925232e-07,114.94034055829236
10,matched_random,14,116,0.08560885608856089,0.09923011120615911,1395,9.94344588889362e-07,120.80232415062115
10,matched_random,15,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,16,0,0.0,0.0,1377,9.956640383279591e-07,100.944956211312
10,matched_random,17,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,18,157,0.11586715867158671,0.1343028229255774,1388,9.937534599657738e-07,112.5287144819386
10,matched_random,19,0,0.0,0.0,1377,9.956640383279591e-07,100.944956211312
10,matched_random,20,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,21,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,22,2,0.0014760147601476014,0.001710863986313088,1390,9.948512484925232e-07,114.94034055829236
10,matched_random,23,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,24,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,25,0,0.0,0.0,1377,9.956640383279591e-07,100.944956211312
10,matched_random,26,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,27,2,0.0014760147601476014,0.001710863986313088,1390,9.948512484925232e-07,114.94034055829236
10,matched_random,28,129,0.0952029520295203,0.11035072711719418,1379,9.900209363422618e-07,102.41081074687881
10,matched_random,29,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,30,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,31,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,32,0,0.0,0.0,1377,9.956640383279591e-07,100.944956211312
10,matched_random,33,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,34,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,35,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
